publicationDocumentIdentifier,publicationDate,inventionTitle,abstractText
US20120265113A1,10-18-2012,Modlity and system for casting diabetic and neuropathic plantar foot ulcerations and treating defects that limit range of motion.,"A system that is clinically and effically sound, consisting of proprietary components that not only address the needs of the clinician but are universally utilized in a concise protocol covering a wide range of indications and conditions."
US20120282222A9,11-08-2012,Estrogen receptor ligand and/or interferon beta treatment for neurodegenerative diseases,"This invention relates generally to novel treatments to prevent neurodegeneration in the central nervous system comprising a therapeutic dosage of an estrogen receptor ligand and/or an immunotherapeutic compound, such as beta-interferon, to ameliorate the effects of the neurodegenerative disease and to stimulate repair."
US20120283293A1,11-08-2012,Methods of neuroprotection involving Prostaglandin E2 EP4 (PGE2 EP4) receptor activation,The present invention provides methods for attenuating neuronal inflammation and neuronal damage in case of acute or chronic injury of nerve cells of the central nervous system through prostaglandin E2 EP4 receptor activation. Methods for treating neuropathic pain are also provided.
US20120294805A1,11-22-2012,DNA regulatory element for the expression of transgenes in neurons of a subject and uses thereof,"The present invention provides for a method of evaluating whether a compound is effective in activating a calcium-calmodulin dependent kinase IIα promoter in a human neuronal cell which comprises: (a) contacting the human neuronal cell which has been stably transformed by a recombinant nucleic acid molecule comprising a gene of interest operatively linked to a nucleic acid encoding a calcium-calmodulin dependent kinase IIα promoter which has a nucleotide sequence of the promoter in ATCC Accession No. 98582 with the compound, and (b) comparing the expression level of the gene of interest in the neuronal cell in step (a) with the level in the neuronal cell in the absence of the compound, thereby determining whether the compound is effective in activating the calcium-calmodulin dependent kinase IIα promoter."
US20120296392A1,11-22-2012,Display of region of activation in neurostimulation programming screen,"A system for use with a neurostimulator coupled to one or more electrodes implanted adjacent neural tissue of a patient. The system comprises a user input device configured for allowing a user to select different nerve fiber diameters and to select a set of stimulation parameters. The system further comprises processing circuitry configured estimating regions of activation within the neural tissue of the patient based on the selected nerve fiber diameters and the selected stimulation parameter set. The system further comprises a display device configured for displaying the estimated regions of tissue activation. The user input device may further be configured for allowing the user to select different tissue regions of therapy, in which case, the display device may display the different tissue region on a human body map, and different indicia associating the displayed tissue regions for therapy to displayed estimated regions of tissue activation."
US20120309681A1,12-06-2012,Treating or ameliorating some neuroendocrine disorders in male with help of prolactin,"Methods, compositions and kits for treating or ameliorating the following disorders, in male, with help of prolactin are disclosed: a) erectile dysfunction (ED), also from aging, of pituitary/hypothalamic origin; b) premature ejaculation (PE), of pituitary/hypothalamic origin. Said methods, compositions and kits comprise prolactin, variants, analogs, agonists and functional fragments of prolactin, also in combination with conventional therapies and drugs (eg testosterone/androgens and/or gonadotropins)."
US20120309816A1,12-06-2012,Novel viral vector construct for neuron specific optimized  continuous DOPA synthesis in vivo,"The present invention relates to a one-vector expression system comprising a sequence encoding two polypeptides, such as tyrosine hydroxylase (TH) and GTP-cyclohydrolase 1 (GCH1). The two polypeptides can be should preferentially be expressed at a ratio between 3:1 and 15:1, such as between 3:1 and 7:1. The invention is useful in the treatment of catecholamine deficient disorders, such as dopamine deficient disorders including but not limited to Parkinson's Disease. Moreover, the present invention provides a method to deliver the vector construct in order to limit the increased production of the catecholamine to the cells in need thereof."
US20120310106A1,12-06-2012,Device-independent neurological monitoring system,"A system that analyzes neurological signals is described. During operation, the system monitors neurological signals from users at multiple locations, where the neurological signals are associated with different electrode configurations. Then, the system modifies the monitored neurological signals to correct for the different electrode configurations so that a resulting set of modified neurological signals corresponds to a common electrode configuration, thereby facilitating subsequent identification of a subset of the set of modified neurological signals."
US20120322991A1,12-20-2012,Compositions and methods for selective delivery of oligonucleotide molecules to specific neuron types,"The invention provides a conjugate comprising (i) a nucleic acid which is complementary to a target nucleic acid sequence and which expression prevents or reduces expression of the target nucleic acid and (ii) a selectivity agent which is capable of binding with high affinity to a neurotransmitter transporter. The conjugates of the present invention are useful for the delivery of the nucleic acid to a cell of interests and thus, for the treatment of diseases which require a down-regulation of the protein encoded by the target nucleic acid as well as for the delivery of imaging agents to the cells for diagnostic purposes."
US20130040359A1,02-14-2013,"Aminopyridine dimer compounds, compositions and related methods for neuronal nitric oxide synthase inhibition","Nitric oxide synthase (NOS) inhibitor compounds comprising bi-terminal aromatic ring moieties, and related methods of NOS inhibition."
US20130060013A1,03-07-2013,Compounds useful for treating neurodegenerative disorders,The present invention provides compounds of formula I:
US20130060020A1,03-07-2013,Compounds useful for treating neurodegenerative disorders,The present invention provides compounds of formula I:
US20130060021A1,03-07-2013,Compounds useful for treating neurodegenerative disorders,The present invention provides compounds of formula I:
US20130060022A1,03-07-2013,Compounds useful for treating neurodegenerative disorders,The present invention provides compounds of formula I:
US20130060023A1,03-07-2013,Compounds useful for treating neurodegenerative disorders,The present invention provides compounds of formula I:
US20130060024A1,03-07-2013,Compounds useful for treating neurodegenerative disorders,The present invention provides compounds of formula I:
US20130066360A1,03-14-2013,Braid-Ball Embolic Devices,"Embolic implants, delivery systems and methods of manufacture and delivery are disclosed. The devices can be used for aneurysm treatment and/or parent vessel occlusion. Implant designs offer low profile compressibility for delivery to neurovasculature, while maintaining other necessary features such as density for occlusion purposes and desirable radial strength characteristics."
US20130073500A1,03-21-2013,High level neuromorphic network description apparatus and methods,"Apparatus and methods for high-level neuromorphic network description (HLND) framework that may be configured to enable users to define neuromorphic network architectures using a unified and unambiguous representation that is both human-readable and machine-interpretable. The framework may be used to define nodes types, node-to-node connection types, instantiate node instances for different node types, and to generate instances of connection types between these nodes. To facilitate framework usage, the HLND format may provide the flexibility required by computational neuroscientists and, at the same time, provides a user-friendly interface for users with limited experience in modeling neurons. The HLND kernel may comprise an interface to Elementary Network Description (END) that is optimized for efficient representation of neuronal systems in hardware-independent manner and enables seamless translation of HLND model description into hardware instructions for execution by various processing modules."
US20130123821A1,05-16-2013,"Single use, multipurpose neuro-dissector","A single-use, multi-purpose neuro-dissector (“dissector”), suitable for a variety of surgical procedures, is disclosed. A handle of a material which degrades in heat sufficient to sterilize same holds an extended, slender rod, preferably of stainless steel or similar suitable material. A section of the rod near its distal end (away from the handle) is turned at an angle to the remainder of the rod, and a cutting surface and cutting edge are formed in the turned-down section. The distal end of the rod forms a non-cutting tip, for example a blunt ball tip, to avoid unintentional cutting of surrounding tissues. The cutting surface and edge are coated with a material which prevents re-sharpening, such as titanium nitride. The combination of a handle material which degrades in the heat of sterilization, if attempted, and a cutting surface which is not re-sharpenable, render the dissector a single-use device."
US20130143967A1,06-06-2013,Organosulfur compounds for the prevention and treatment of neurodegenerative diseases,"S-allylmercapto-N-acetylcysteine and related compounds are disclosed which can be administered in order to provide protection from the formation of aldehyde-protein adducts, protein carbonylation, protein aggregation, and the resulting neuroinflammation. Various neurodegenerative diseases which are suitable for treatment using these compounds include Alzheimer's disease, senile dementia, Parkinson's disease, multiple sclerosis, Lewy body disease, peripheral neuropathy, spinal cord injury, stroke and cerebral ischemia."
US20130144353A1,06-06-2013,Method for treating neurological /psychiatric disorders with stimulation to the subcaudate area of the brain,"A method for treating a patient with a neurological or psychiatric disorder, comprising applying stimulation to at least a portion of the patient's subcaudate white matter of the subcaudate area under conditions effective to provide the patient with at least a partial relief from the neurological or psychiatric disorder. The stimulation may be electrical and/or pharmacological."
US20130145367A1,06-06-2013,VIRTUAL MACHINE (VM) REALM INTEGRATION AND MANAGEMENT,"A hardware and operating system independent platform and/or run time architecture that implements a configuration and algorithmic based application and process for enabling multiple virtual machines or internal networked physical servers (hosts) to be organized into groups or “realms” in real time and against specific configurable metrics. The configurable metrics include one or more of the following; load or processing capacity availability, cost of CPU processing, location based on risk, importance to business continuity priority requirements, disaster recovery strength and priority, geographic location of host aligned to IP, and any other client specific or custom requirements. A realm manager balances all of these configurable metrics and creates an algorithm to address allocation. The algorithm is fully elastic, allowing for automatic opening and closing of virtual machines to accommodate any internal or external changes."
US20130157358A1,06-20-2013,Method for neuroepithelial cells differentiation from pluripotent stem cells and medium using same,"The present invention discloses a neural induction medium comprising Wnt-signal agonist, TGFβ-signal inhibitor and FGF-signal agonist for inducing neural differentiation. The neural induction medium used in a culture system is capable for inducing the neural differentiation of stem cells into neuroepithelial cells which are useful for the clinical applications. Therein, the neuroepithelial cells can further differentiate into mature neurons for the practical applications including regeneration medicine and drug discovery for neural disorders."
US20130166490A1,06-27-2013,PNEURON DISTRIBUTED ANALYTICS,"A method and system for the integration of disparate data stored within an Information Technology infrastructure of a company is provided. The system and method enables holistic, real time control of data discovery, retrieval and analysis. The system combines data mining, retrieval and analytics at the source of the data, thereby solving traditional problems with disparate and distributed data, systems, business processes and analytics across an organization. The system enables a user to configure and target data, then apply rules, workflows and analytics from one central source. This process is accomplished by distributing functions in the form of software pneurons against the existing infrastructure for maximum processing while preserving a robust and extendable suite of definitions. The system uses the existing application, network and hardware assets and enables connection to the native data, maps only the data fields that need to be mapped to carry out the desired analysis, runs the analysis and then returns the data to a central location to be assembled, analyzed, organized and/or reported."
US20130189382A1,07-25-2013,Use of fucoxanthin in the preparation of product for improving memory and having neuroprotective effect associated with neurodegenerative disorder,Use of fucoxanthin in the preparation of a product having neuroprotective effect associated with neurodegenerative disorder and improving memory is disclosed in the disclosure. A product having neuroprotective effect associated with neurodegenerative disorder is also disclosed in the disclosure. Fucoxanthin can inhibit oxidative stress of cells and has the effect of preventing or treating Alzheimer's disease and improving memory.
US20130224292A1,08-29-2013,"ACAMPROSATE FORMULATIONS, METHODS OF USING THE SAME, AND COMBINATIONS COMPRISING THE SAME","Embodiments disclosed herein generally relate to acamprosate formulations, methods of use of the formulations, to methods of using the formulations in combination with at least one other medication, and to combination products and compositions comprising the formulations and at least one other medication, such as neuroleptic (antipsychotic) and/or antidepressant drugs."
US20130226267A9,08-29-2013,Method to reduce heating at implantable medical devices including neuroprosthetic devices,"A method to control tissue/device heating at implantable medical devices including neuroprosthetic devices. In a first embodiment, thermal conductivity of components of the implantable medical devices including the neuroprosthetic devices is increased. In a second embodiment, the implantable medical devices including the neuroprosthetic devices are cooled by using heat-sinks. In a third embodiment, portions of the implantable medical devices including the neuroprosthetic devices are replaced with specific thermal properties. In a fourth embodiment, the implantable medical devices including the neuroprosthetic devices are coated with a drug/material that will induce surrounding tissue to become more resistant to temperature increases. In a fifth embodiment, the temperature increase near the implantable devices including the neuroprosthetic devices is determined using a modified bio-heat transfer model. In a sixth embodiment, the shape of the outer or the inner surface of the device is modified."
US20130231721A1,09-05-2013,Applications of the Stimulation of Neural Tissue Using Light,"The present invention comprises systems and methods for stimulating target tissue comprising a light source; an implantable light conducting lead coupled to said light source; and an implantable light-emitter. The light source, lead and emitter are used to provide a light stimulation to a target tissue"
US20130245004A1,09-19-2013,"ACAMPROSATE FORMULATIONS, METHODS OF USING THE SAME, AND COMBINATIONS COMPRISING THE SAME","Embodiments disclosed herein generally relate to acamprosate formulations, methods of use of the formulations, to methods of using the formulations in combination with at least one other medication, and to combination products and compositions comprising the formulations and at least one other medication, such as neuroleptic (antipsychotic) and/or antidepressant drugs."
US20130281758A1,10-24-2013,Treatment of refractory neuropsychiatric disorders using targeted radiation,"Provided herein are methods for treating neuropsychiatric disorders by delivering radiation to an area in the subgenual anterior cingulate cortex, particularly to the cingulate area 25. Those methods are also beneficial to treat refractory neuropsychiatric disorders."
US20130281794A1,10-24-2013,"Evidence-based, neuro-congnitive testing methodology, protocols and systems","The present disclosure relates to evidenced-based neuro-cognitive testing methodologies and systems. The present disclosure provides for a protocol and testing service. The protocol and testing service provides empirical data support for the interventions of the treating physician or clinician. The evidenced-based neuro-cognitive testing methodology and system disclosed comprises a protocol for the use of a triggering questionnaire. Further, the evidenced-based neuro-cognitive testing methodology and system provides normed screenings to guide and support the interventions provided by the treating physicians or clinicians. The protocol provides for intervention support, interpretations, and empirical data that enhance best practices."
US20130293061A1,11-07-2013,Non-Sliding Carrier Bearing in Submersible Pump Motor and Method of Installation,"A submersible well pump motor has features to prevent the carrier bearing from sliding axially along the stator due to thermal growth of the rotor. The rotor has a shaft and rotor sections spaced apart from each other. Carrier bearings are located between the rotor sections, each having an anti-rotation member that frictionally engages the inner diameter of the stator to prevent spinning of the carrier bearing. A deflectable thrust washer may be located between ends of the carrier bearing and the rotor sections. The thrust washer reduces in thickness in response to an axial thermal growth force due to axial thermal growth movement of the rotor sections and shaft. The thermal growth force is less than an amount of dislodging force required to cause the anti-rotation member to axially move relative to the stator. Rather than deflectable thrust washers, sacrificial thrust washers that dissolve prior to normal operation may be used."
US20130308099A1,11-21-2013,Eye tracking headset and system for neuropsychological testing including the detection of brain damage,"A universal headset-mounted Neuropsychological Testing System utilizes eye tracking, with a single screen fixed with respect to the face and a dot on the screen driven to present an object that both eyes are focused on using a set of prisms, with the prisms eliminating interocular distance considerations. Ultrathin optics cast a virtual image at 40 centimeters and a universal mask against which the test taker's face is placed fixes the single screen with respect to the face so that head movement is not a factor. Additionally, miniature cameras are located in the headset housing beneath the eyes, and a quick release tensioning unit provides easy headset mounting and removal. Moreover, all elements are located in the headset hood to eliminate the effects of head movement as well as environmental distractions."
US20130310455A1,11-21-2013,"ACAMPROSATE FORMULATIONS, METHODS OF USING THE SAME, AND COMBINATIONS COMPRISING THE SAME","Embodiments disclosed herein generally relate to acamprosate formulations, methods of use of the formulations, to methods of using the formulations in combination with at least one other medication, and to combination products and compositions comprising the formulations and at least one other medication, such as neuroleptic (antipsychotic) and/or antidepressant drugs."
US20130310456A1,11-21-2013,"ACAMPROSATE FORMULATIONS, METHODS OF USING THE SAME, AND COMBINATIONS COMPRISING THE SAME","Embodiments disclosed herein generally relate to acamprosate formulations, methods of use of the formulations, to methods of using the formulations in combination with at least one other medication, and to combination products and compositions comprising the formulations and at least one other medication, such as neuroleptic (antipsychotic) and/or antidepressant drugs."
US20130317510A1,11-28-2013,PATIENT-SPECIFIC INSTRUMENTATION AND METHOD FOR ARTICULAR JOINT REPAIR,Patient-specific instrumentation for use when performing articular joint repair is provided. A patient-specific jig is adapted to be positioned over a bone at an articular surface thereof for assisting in preparing the bone surface for reception of a prosthesis. The jig comprises a bone contacting portion adapted to matingly contact a portion of the articular surface of the bone and a cutting slot adapted to receive therein a saw blade for resecting the articular surface of the bone. The cutting slot may be press-fitted into the opening of a cut guide. A patient-specific plate and a patient-specific rotational guide are also provided for guiding a positioning of the prosthesis over the resected surface of the bone. A method for manufacturing the patient-specific jig is further provided.
US20130345398A1,12-26-2013,Recombinant light chains of botulinum neurotoxins and light chain fusion proteins for use in research and clinical therapy,"The present invention relates to the construction, expression, and purification of synthetic or recombinant light chain (LC) neurotoxin genes from all neurotoxin serotypes. The methods of the invention can provide 1.1 g of the LC per liter of culture. The LC product is stable and proteolytically active. Methods of using the products of the invention are described."
US20140018382A1,01-16-2014,Method for treament of neurologic dysfunction,"A method for treatment of the symptoms of neurologic dysfunctions, including major depression, an autism spectrum disorder (ASD), and schizophrenia. The patient is administered an amount of a compound that increases the catalytic activity of MAO-A."
US20140128404A1,05-08-2014,"1, 2, 4-Thiadiazol-5-Ylpiperazine derivatives useful in the treatment of neurodegenerative diseases",The present invention relates to a compound of formula (IA) The present invention also relates to the use of the compound of formula IA for treating certain neurodegenerative disorders characterized by cytotoxic TAU misfolding and/or aggregation.
US20140154781A1,06-05-2014,Therapeutic Use of Botulinum Neurotoxin in the Treatment of pain associated with diabetic neuropathy,"The present invention relates to at least one botulinum neurotoxin for treatment or prevention of pain associated with diabetic neuropathy wherein said botulinum neurotoxin is prepared for local administration, wherein the local administration is not in the central nervous system (CNS), and wherein pain is treated at a site distant to the site of administration."
US20140193526A1,07-10-2014,"Formulations, procedures, methods and combinations thereof for reducing or preventing the development, or the risk of development, of neuropathology as a result of trauma","Novel formulations and methods for their use in treating neuropathology incident to trauma are provided. Multiple-component formulations of the invention, and especially those having four components, comprise biologically active compounds configured for preventing or reducing the incidence and severity of damage caused by neurotrauma. Formulations and methods of the invention effect both neuroprotective actions to prevent or reduce secondary injuries, and neurotrophic actions to repair and restore cells and tissues affected by the trauma. Formulations and methods of the invention are especially useful in treating neurological trauma, such as those caused by sports injuries and improvised explosive devices in combat."
US20140222054A1,08-07-2014,ULTRASONIC DEVICE FOR CUTTING AND COAGULATING,"An ultrasonic surgical instrument that is configured to permit selective positioning of the relative distance between an end effector for cutting and coagulating tissue and a power actuation switch that is carried by the instrument for selectively energizing the end effector. In one instance, the end effector is able to change position relative to the actuation switch, alternatively, the actuation switch moves relative to the end effector, and still further, both the end effector and the actuation switch are capable of moving relative to each other."
US20140243863A1,08-28-2014,ACTUATION MECHANISM FOR USE WITH AN ULTRASONIC SURGICAL INSTRUMENT,"An ultrasonic clamp coagulator assembly that is configured to permit selective cutting, coagulation and clamping of tissue during surgical procedures. An elongated portion of the instrument can be configured for endoscopic applications and has an outside diameter of less than 6 mm. The construction includes a clamping mechanism, including a clamp arm pivotally mounted at the distal portion of the instrument, which is specifically configured to create a desired level of tissue clamping forces, exceeding 4 pounds when the trigger is fully closed. The clamping mechanism includes a force-limiting mechanism that effectively smooths out abusive tissue forces."
US20140249377A1,09-04-2014,Well defined system and method for monitoring neurological disease onset and progress and onset of the effects of neuropharmacological drugs using the recency-primacy shift and overall free recall differences,"Given free recall or recognition test results of normal and disease populations, the present innovation provides methods for determining how close a single test subject is to the profile of a diseased population. The methods use the total items remembered and a defined recency-primacy shift to determine how similar the test subject is to a disease population. The methods are well defined and do not involve any “tinkering”."
US20140255888A1,09-11-2014,Optical neuroinformatics,"A method is provided for improving cognitive performance assessment in a smooth pursuit cognitive performance test by using measurement metrics including a lead/lag metric, a radial inbounding metric, a path dependent velocity metric, a path drift metric, a velocity variability metric, or a variance statistics metric."
US20140275236A1,09-18-2014,Novel anti-neurodegenerative natural compounds isolated from Alpiniae Oxyphyllae Fructus and their total synthesis,"This invention is directed to novel compounds isolated or derived from Alpiniae oxyphyllae fructus, chemically synthesized novel compounds, methods of preparing the novel compounds and uses thereof as neuroprotectants or drugs for treating neurodegenerative diseases such as Parkinson's disease."
US20140294732A1,10-02-2014,Early diagnostic of neurodegenerative diseases,"The present application provides a method for diagnosing a neurodegenerative disease in a subject at risk of having said neurodegenerative disease, said method comprising the steps of a) having said subject at risk of having said neurodegenerative disease perform a series of fast, brief and powerful movements that recruit fast-fatigable motoneurons (ballistic movements), and b) comparing the performance in step a) of said subject at risk of having said neurodegenerative disease with a standard value obtained by assessing the performance of a normal population for the same series of fast, brief and powerful movements that recruit fast-fatigable motoneurons, wherein a significant deviation of performance by said subject at risk of having said neurodegenerative disease is indicative of the onset of said neurodegenerative disease."
US20140302599A1,10-09-2014,Method of Co-Culturing Mammalian Muscle Cells and Motoneurons,The invention provides a method of co-culturing mammalian muscle cells and mammalian motoneurons. The method comprises preparing one or more carriers coated with a covalently bonded monolayer of trimethoxysilylpropyl diethylenetriamine (DETA); suspending isolated fetal mammalian skeletal muscle cells in serum-free medium according to medium composition 1; suspending isolated fetal mammalian spinal motoneurons in serum-free medium according to medium composition 1; plating the suspended muscle cells onto the one or more carriers at a predetermined density and allowing the muscle cells to attach; plating the suspended motoneurons at a predetermined density onto the one or more carriers and allowing the motoneurons to attach; covering the one or more carriers with a mixture of medium composition 1 and medium composition 2; and incubating the carriers covered in the media mixture.
US20140314787A1,10-23-2014,Treatment for neurodegenerative diseases,The present application provides a method for treating a neurodegenerative disease in a subject characterised in that the endoplasmic reticulum protein retrotranslocation machinery and/or VCP is modulated by administering to said subject a therapeutically effective amount of a modulator of said endoplasmic reticulum protein retrotranslocation machinery and/or of VCP.
US20140356319A1,12-04-2014,Compounds and pharmaceutical combinations for the treatment of neurodegenerative and ischemic brain diseases,"The present invention describes peptides comprising phycocyanobilin (PCB), as well as the medical use of said peptides and that of PCB, due to the neuroprotector and/or neuroregenerative effects identified for them. Furthermore, pharmaceutical combinations of said peptides and of PCB with proteins or other peptides with synergic effect justify their use for ischemic or neurodegenerative CNS disease treatment."
US20140358199A1,12-04-2014,"Self-administrable method, system and apparatus  for non-invasive neurostimulation therapy of the brain","The present invention is a portable non-invasive apparatus, system, and method for performing light therapy or photobiomodulation upon the brain tissues through the nostrils of a living mammalian subject for the medical purpose of stimulating the brain in-vivo. In marked difference to conventionally known therapeutic procedures, the present invention utilizes the intranasal pathway as the point of anatomic access; and follows established principles for the conceptual approach that irradiation of the brain tissue with low level light energy of certain fixed parameters would achieve major therapeutic effects in-vivo. In this manner, the present invention utilizes light energy of specified wavelengths, coherency, and pulsed mode to achieve therapeutic outcomes."
US20140371280A1,12-18-2014,"Method of treating diabetic peripheral neuropathy through amendment of pre-neuronal diabetic coagulative micro-angiopathy and neuronal deficiency of mitochondrial ATP production, and through induction of neuronal regeneration",DPN is an intractable and tormenting neurovascular and dermal disorder.
US20150007412A1,01-08-2015,SYSTEM AND METHOD FOR THERMALLY BONDING GROMMETS TO FABRIC,Apparatus and methods are disclosed for bonding first and second grommet portions positioned on opposite sides of a sheet by means of localized heat and pressure applied to the first and second grommet portions. Heat and pressure may be applied by first and second pedestals positioned facing the first and second grommet portions. A registration post may secure to the first pedestal and extend through apertures in the grommet portions and sheet. The second pedestal may define an aperture for receiving the registration post. The registration post may be resiliently mounted to the first pedestal and be depressible into the first pedestal. The first and second grommet portions may have a lower melting temperature than the sheet and may bond to one another through an aperture defined by the sheet.
US20150011604A1,01-08-2015,Compounds for the treatment of neurodegenerative diseases,"Compounds and their pharmaceutically acceptable salts for treatment of synucleinopathies, such as Parkinson's disease and tauopathies."
US20150023971A1,01-22-2015,Modulation of Activity of Proneurotrophins,"The present invention provides agents for inhibiting binding of a pro-neurotrophin to a Vps1 Op-domain receptor, in particular the binding of a pro-NGF or a pro-BDNF to a Sortilin receptor. The invention thus provides agents for the manufacture of a medicament, for treating and/or preventing disease or disorders such as but not limited to neurological, neuropsychiatric and ocular diseases, disorders, and degeneration as well as obesity, diabetes, pain and/or nociception in an individual."
US20150030480A1,01-29-2015,Delta-Shaped Power Cable Within Coiled Tubing,A power cable assembly supplies power to and suspends in a well an electrical well pump. The assembly includes metal tubing having a longitudinal tubing center line and a cylindrical side wall. Power cable has an exterior delta shape when viewed in a cross-section. The delta shape defines three exterior side surfaces that face radially outward and join each other at corners. Power cable has three insulated power conductors wrapped helically with a metal strip. The power cable is located in the tubing with the corners deformed against an inner diameter of the tubing.
US20150030540A1,01-29-2015,Imaging agents for detecting neurological dysfunction,"Disclosed here in are compounds and methods of diagnosing Alzheimer's Disease or a predisposition thereto in a mammal, the method comprising administering to the mammal a diagnostically effective amount of a radiolabeled compound, wherein the compound is selected from the group consisting of radiolabeled carbazoles and derivatives thereof and triazoles derivatives, allowing the compound to distribute into the brain tissue, and imaging the brain tissue, wherein an increase in binding of the compound to the brain tissue compared to a normal control level of binding indicates that the mammal is suffering from or is at risk of developing Alzheimer's Disease."
US20150038948A1,02-05-2015,"Apparatus and use of a neurochemisrty regulator device insertable in the cranium for the
treatment of cerebral cortical disorders","A subarachnoid pharmacodialysis apparatus insertable under the scalp, in and under the cranium, with a relatively short and simple neurosurgical procedure, to be kept there safely implanted for a year or longer for the purpose of regulating the neurochemistry of one or more diseased cerebral cortical areas and thus to achieve therapeutic effects via both localized delivery of medication and drainage of local neurotoxic molecules across the subdural meninges and compartments in a feedback-controlled fashion, with or without the additional capability of performing localized neurochemistry regulation in subcortical areas. This apparatus is also used for neurochemical profiling of the diseased brain area or areas by analyzing the removed endogenous molecules and adjusting the composition of the delivered medication based on the patient's specific, abnormal neurochemistry within the treated area or areas."
US20150050363A1,02-19-2015,Novel autophagy enhancer for treatment of neurodegenerative diseases,"Use and application of Onjisaponin B derived and isolated from Radix Polygalae as novel autophagy enhancer are provided. A method of preventing, treating and/or delaying the onset of neurodegenerative diseases comprising administering an effective amount of Onjisaponin B is also provided."
US20150068979A1,03-12-2015,HOLDER FOR MONOLITHIC SORBENTS,The present invention relates to a holder for monolithic sorbents in which a radial pressure can be exerted over the entire length of the sorbent by a conically tapering clamping tube.
US20150080481A1,03-19-2015,Methods for renal neuromodulation,"Methods and apparatus are provided for treating contrast nephropathy, e.g., via a pulsed electric field, via a stimulation electric field, via localized drug delivery, via high frequency ultrasound, via thermal techniques, etc. Such neuromodulation may effectuate irreversible electroporation or electrofusion, necrosis and/or inducement of apoptosis, alteration of gene expression, action potential attenuation or blockade, changes in cytokine up-regulation and other conditions in target neural fibers. In some embodiments, neuromodulation is applied to neural fibers that contribute to renal function. In some embodiments, such neuromodulation is performed in a bilateral fashion. Bilateral renal neuromodulation may provide enhanced therapeutic effect in some patients as compared to renal neuromodulation performed unilaterally, i.e., as compared to renal neuromodulation performed on neural tissue innervating a single kidney."
US20150094360A1,04-02-2015,Use of neuroglobin agonist for preventing or treating mitochondrial RCCI and/or RCCIII deficiency disease,The present invention concerns a neuroglobin agonist for use in the treatment or prevention of a mitochondrial disease associated with respiratory chain complex I (RCCI) deficiency and/or respiratory chain complex III (RCCIII) deficiency.
US20150119914A1,04-30-2015,ULTRASONIC SURGICAL INSTRUMENTS,"A surgical instrument comprising a transducer configured to produce vibrations along a longitudinal axis. The surgical instrument further comprises an ultrasonic blade extending along the longitudinal axis. The ultrasonic blade is coupled to the transducer and comprises a body and a treatment region. The body comprises a proximal end, a distal end, and a bottom surface. The distal end of the body is movable relative to the longitudinal axis by the vibrations produced by the transducer. The treatment region extends from the proximal end to the distal end. The surgical instrument further comprises a protective sheath disposed adjacent to the bottom surface of the ultrasonic blade."
US20150119915A1,04-30-2015,ULTRASONIC SURGICAL INSTRUMENTS,"A surgical instrument configured to be coupled to a transducer configured to produce vibrations. The surgical instrument comprises an end effector comprising an ultrasonic blade, a protective sheath, and outer tube and an aperture. The ultrasonic blade extends along a longitudinal axis of the end effector and is configured to be coupled to a transducer. The protective sheath extends at least partially around the ultrasonic blade. The outer tube extends at least partially along the longitudinal axis. The aperture defines a channel extending at least partially through the end effector along the longitudinal axis."
US20150123348A1,05-07-2015,SEAL ARRANGEMENTS FOR ULTRASONICALLY POWERED SURGICAL INSTRUMENTS,"In one general aspect, various embodiments are directed to ultrasonic surgical instruments that may be used in aqueous environments. The instruments may include cutting a member that is supported within a hollow sheath. Various seal arrangements are disclosed for establishing a substantially fluid-tight seal between the cutting member and the sheath."
US20150140569A1,05-21-2015,ELISpot diagnostic kit for neuromyelitis optica and its application,"An ELISpot diagnosis kit for NMO and its application are characterized in that, the polypeptide fragment specific to NMO effector T-cell is obtained through topological conformation analysis of aquaporin-4 (AQP-4), followed by the structural analyses of the related polypeptides after combination and rearrangement so as to screen out the brand-new polypeptide fragment suitable for NMO disease diagnosis. In the ELISpot experiment, by utilizing the obtained polypeptide fragment, stimulate the effector T-cell in the NMO disease to secrete IL-4, proving the feasibility and scientific value of that polypeptide fragment in the NMO diagnosis. This method is with strong specificity, high sensitivity and easy operations, and it can be developed into the diagnosis kit for the diagnosis and differential diagnosis of NMO in the clinical examination, laying the foundation for the early discovery and treatment of NMO."
US20150230749A1,08-20-2015,Systems and methods for performing neurophysiologic monitoring during spine surgery,The present invention relates a system and related methods for performing neurophysiologic assessments during surgical procedures.
US20150238483A1,08-27-2015,Traitement des neuronopathies motrices,"The invention relates to a calcium channel blocker selected from the group of the calcium channel blockers of the phenylalkylamine family, the calcium channel blockers of the amino acid family, and the calcium channel blockers of the benzofuran family, for the use thereof in the treatment of a motor neuronopathy."
US20150250351A1,09-10-2015,BREWING UNIT FOR FOOD PREPARATION,"The present invention is directed to a brewing unit () for enclosing a food preparation ingredient, said brewing unit being releasably and leak-tightly connectable to a pressurized fluid source () through connecting means (), said unit () further comprising fluid injection means (), and at least two cavity parts () able to assemble to create a closed cavity for enclosing said ingredient functionally such that said brewing unit () can inject fluid through said ingredient under pressure for mixing with said ingredient, said brewing unit () is fully detachable from said pressurized fluid source (), and comprises locking means () for preventing disassembly of the cavity parts () when said brewing unit () is detached from the fluid source ()."
